SimpName,EngName,TradName,price,birthday,weight,height,IdioFoot,nationality,contract
基兰·特里皮尔,Kieran Trippier,捷比亞,3150万英镑,1990-09-19,71,173,右脚,英格兰,2022-06-30
圣地亚哥·阿里亚斯,Santiago Arias Naranjo,阿里亞斯,1620万英镑,1992-01-13,67,177,右脚,哥伦比亚,2023-06-30
吉梅内斯,Jose Maria Gimenez de Vargas,荷西基文尼斯,6300万英镑,1995-01-20,80,185,右脚,乌拉圭、西班牙,2023-06-30
费利佩,Felipe Augusto de Almeida Monteiro,菲臘比蒙迪路,1800万英镑,1989-05-16,76,191,右脚,巴西,2022-06-30
塞姆·福萨里科,Sime Vrsaljko,維沙爾高,1800万英镑,1992-01-10,75,181,右脚,克罗地亚,2022-06-30
R.里柯弥,Rodrigo Riquelme,R.列基美,22.5万英镑,1984-06-01,85,191,右脚,巴拉圭、智利,
斯蒂芬.萨维奇,Stefan Savic,S.沙域,3150万英镑,1991-01-08,73,187,右脚,黑山,2020-06-30
马里奥-埃尔莫索,Mario Hermoso Canseco,靴摩素,2250万英镑,1995-06-18,69,184,左脚,西班牙,2024-06-30
雷南-洛迪,Renan Augusto Lodi Dos Santos,連拿洛迪,360万英镑,1998-04-08,,179,左脚,巴西,2025-06-30
科克,Jorge Resurreccion Merodio Koke,佐治高基,6300万英镑,1992-01-08,73,176,右脚,西班牙,2024-06-30
安赫尔.科雷亚,Angel Correa,安祖哥利亞,3150万英镑,1995-03-09,,171,右脚,阿根廷、西班牙,2024-06-30
维托洛,Victor Machin Perez Vitolo,域度奴,1620万英镑,1989-11-02,78,185,右脚,西班牙,2022-06-30
萨乌尔,Saul Niguez Esclapez,沙奧尼古斯,8100万英镑,1994-11-21,70,184,左脚,西班牙,2026-06-30
H.埃雷拉,Hector Miguel Herrera Lopez,希陀靴里拉,1980万英镑,1990-04-19,72,180,右脚,墨西哥、葡萄牙,2022-06-30
马科斯略伦特,Marcos Llorente Moreno,馬高斯羅蘭迪,1800万英镑,1995-01-30,,184,右脚,西班牙,2024-06-30
托马斯·勒马尔,Thomas Lemar,托馬斯·利馬,3600万英镑,1995-11-12,46,171,左脚,法国、瓜德罗普,2023-06-30
托马斯·帕尔特伊,Thomas Partey,湯馬士,4500万英镑,1993-06-13,,185,右脚,加纳,2023-06-30
若奥.费利克斯,Joao Felix Sequeira,祖奧菲歷斯,6300万英镑,1999-11-10,,180,右脚,葡萄牙,2026-06-30
莫亚,Antonio Moya Vega,安東尼奧莫亞維加,万英镑,1998-03-20,,176,,西班牙,
加尔塞斯莫雷诺,Borja Garces Moreno,加爾塞斯莫雷諾,270万英镑,1999-08-06,,183,右脚,西班牙,2022-06-30
M.桑切斯,Manuel Sanchez De La Pena,M.桑切斯,万英镑,2000-08-24,,,,西班牙,
胡安·马努埃尔,Juan Manuel Sanabria,祖安文奴爾,万英镑,2000-03-29,70,173,,乌拉圭,
阿尔法罗-莫拉塔,Alvaro Morata,摩拉達,4500万英镑,1992-10-23,80,187,右脚,西班牙,2020-06-30
I.沙波尼奇,Ivan Saponjic,I.沙波尼奇,81万英镑,1997-08-02,,192,右脚,塞尔维亚,2022-06-30
迭戈·科斯塔,Diego Da Silva Costa,迪亞高哥斯達,2250万英镑,1988-10-07,85,186,右脚,西班牙、巴西,2021-06-30
达里奥·波维达,Dario Poveda Romera,D.波維達,万英镑,1997-03-13,,185,,西班牙,
奥斯卡·加西亚,Oscar Garcia Junyent,奧斯卡·加西亞,万英镑,1973-04-26,80,184,,西班牙,
塞尔吉奥,Sergio Alvarez Conde,S.干迪,180万英镑,1986-08-03,74,179,右脚,西班牙,2020-06-30
布兰科,Ruben Sergio Veiga,R.白蘭高,270万英镑,1995-07-25,70,188,右脚,西班牙,2023-06-30
伊万·比利亚尔,Ivan Villar,韋拿,27万英镑,1997-07-09,,189,右脚,西班牙,2023-06-30
弗兰西斯科·巴博萨·维特斯,Francisco Barbosa Vieites,F.維特斯,万英镑,1999-05-07,,,,西班牙,
马洛,Hugo Mallo Novegil,曉高馬路,1350万英镑,1991-06-22,69,174,右脚,西班牙,2023-06-30
穆里略,Jeison Fabian Murillo Ceron,謝遜梅里路,720万英镑,1992-05-27,72,182,右脚,哥伦比亚、西班牙,2023-06-30
戴维科斯塔,David Costas,哥斯達斯,270万英镑,1995-03-26,,184,右脚,西班牙,2022-06-30
勒内,David Junca Rene,大衛祖卡,135万英镑,1993-11-16,,178,左脚,西班牙,2023-06-30
奥拿沙保,Lucas Olaza,奧拿沙保,315万英镑,1994-07-21,68,176,左脚,乌拉圭,2020-06-30
尼斯图尔·阿劳约,Nestor Alejandro Araujo Razo,N.阿拿奧祖,720万英镑,1991-08-29,85,188,右脚,墨西哥,2023-06-30
凯文.巴斯克斯,Kevin Vazquez Comesana,凱文·巴斯克斯,45万英镑,1993-03-23,,175,右脚,西班牙,2023-06-30
约瑟夫·艾杜,Joseph Aidoo,J.艾爾多,360万英镑,1995-09-29,,184,右脚,加纳,2024-06-30
佐治,Jorge Saenz de Miera Colmeiro Jorge,佐治,270万英镑,1996-11-17,,190,右脚,西班牙,2021-06-30
塞尔吉奥·卡雷拉,Sergio Carreira,S.卡雷拉,万英镑,2000-10-13,,,,西班牙,
席思图,Pione Sisto,西斯圖,720万英镑,1995-02-04,,172,右脚,丹麦、乌干达,2021-06-30
丹尼斯.苏亚雷斯,Denis Suarez Fernandez,丹尼斯蘇亞雷斯,1080万英镑,1994-01-06,69,176,右脚,西班牙,2023-06-30
拉菲尼亚,Rafael Alcantara Rafinha,A.拉芬哈,1350万英镑,1993-02-12,65,174,左脚,巴西、西班牙,2020-06-30
佩普谢赫,Pape Cheikh Diop Gueye,佩普谢赫,630万英镑,1997-08-08,,180,右脚,西班牙、塞内加尔,2020-06-30
O.尤库斯路,Okay Yokuslu,約克烏斯路,1080万英镑,1994-03-09,80,191,右脚,土耳其,2023-06-30
F.本谭,Francisco Beltran,F.本谭,1620万英镑,1999-02-03,,172,右脚,西班牙,2023-06-30
布雷斯门德斯,Brais Mendez,布雷斯門德斯,1800万英镑,1997-01-07,,184,左脚,西班牙,2021-06-30
I.阿斯帕斯,Iago Aspas Juncal,艾斯柏斯,2250万英镑,1987-08-01,67,176,左脚,西班牙,2023-06-30
胡安.赫尔南德斯,Juan Hernandez,胡安.哈爾南德斯,万英镑,1993-08-17,,181,,阿根廷,
J.苏亚雷斯,Juan Camilo Hernandez Suarez,J.蘇亞雷斯,900万英镑,1999-04-22,,176,右脚,哥伦比亚,2020-06-30
利迪斯,Gabriel Matias Fernandez Leites,G.費蘭迪斯,270万英镑,1994-05-13,80,186,右脚,乌拉圭,2023-06-30
S.米拿,Santiago Mina Lorenzo,辛迪米拿,2700万英镑,1995-12-07,71,181,右脚,西班牙,2024-06-30
迭戈·马丁内斯,Diego Martinez,迭戈·馬丁內斯,万英镑,1980-12-16,,,,西班牙,
R.席尔瓦,Rui Silva,R.施華,225万英镑,1994-02-07,84,191,左脚,葡萄牙,2021-06-30
亚伦埃斯坎德利,Aaron Escandell,艾斯簡迪,27万英镑,1995-09-27,,185,右脚,西班牙,2020-06-30
伊斯梅尔·科伊巴斯,Ismail Koybasi,高爾巴斯,135万英镑,1989-07-10,76,178,左脚,土耳其,2019-06-30
奎尼,Joaquin Jose Marin RuzQuini,昆尼馬連,63万英镑,1989-09-24,,178,右脚,西班牙,2020-06-30
D.弗里克尔,Dimitri Foulquier,科基爾,225万英镑,1993-03-23,78,183,右脚,瓜德罗普、法国,2019-06-30
V.米基尔,Victor David Diaz Miguel,V.米基爾,108万英镑,1988-06-12,72,183,右脚,西班牙,2022-06-30
A.桑切斯,Alejandro Martinez Sanchez,阿歷士馬天尼斯,90万英镑,1990-08-12,64,176,左脚,西班牙,2021-06-30
格尔曼.桑切斯,German Sanchez Barahona,基文山度士,45万英镑,1986-10-31,,187,右脚,西班牙、哥斯达黎加,2021-06-30
D.杜亚特,Domingos Duarte,迪明哥斯,225万英镑,1995-03-10,,192,右脚,葡萄牙,2023-06-30
乔斯.安东尼奥.马丁内兹,Jose Antonio Martinez,安东尼奥.马丁内兹,108万英镑,1993-02-12,,191,左脚,西班牙,2020-06-30
N.洛泽诺,Neyder Lozano,N.洛澤諾,54万英镑,1994-03-04,,185,左脚,哥伦比亚,2022-06-30
戈纳隆斯,Maxime Gonalons,干拿隆斯,360万英镑,1989-03-10,76,187,右脚,法国,2020-06-30
蒙尼杜素,Angel Montoro Sanchez,蒙杜路,135万英镑,1988-06-25,77,180,右脚,西班牙,2020-06-30
亚泽兹,Ramon Olamilekan Azeez,阿施斯,72万英镑,1992-12-12,67,170,右脚,尼日利亚,2022-06-30
达尔文·马奇斯,Darwin Machis,馬捷斯,270万英镑,1993-02-07,58,171,右脚,委内瑞拉、西班牙,2023-06-30
费德里科,Federico Vico Villegas,費迪域高,135万英镑,1994-07-04,70,177,左脚,西班牙,2021-06-30
巴迪洛,Alvaro Vadillo Cifuentes,華迪路,180万英镑,1994-09-12,65,180,右脚,西班牙,2020-06-30
安东尼奥普埃塔斯,Antonio Puertas,安東尼奧,180万英镑,1992-02-21,,183,右脚,西班牙,2020-06-30
Y.埃雷拉,Yangel Herrera,恩祖靴里拉,180万英镑,1998-01-07,,184,右脚,委内瑞拉,2020-06-30
Y.布莱斯,Yan Brice,Y.布莱斯,90万英镑,1997-08-26,,182,右脚,喀麦隆、西班牙,2022-06-30
严布利斯·埃特基,Yan Brice Eteki,嚴布利斯·埃特基,万英镑,1997-08-26,,,,喀麦隆,
罗伯托·索尔达多,Roberto Soldado Rillo,蘇達度,90万英镑,1985-05-27,80,180,右脚,西班牙,2020-06-30
卡洛斯·费尔南德斯,Carlos Fernandez Luna,卡洛斯·費爾南德斯,180万英镑,1996-05-22,,185,左脚,西班牙,2020-06-30
塞尔吉奥,Sergio Gonzalez Soriano,S.沙治奧,万英镑,1976-11-10,77,182,,西班牙,
佐迪卢比斯,Jordi Masip Lopez,佐迪盧比斯,540万英镑,1989-01-03,77,180,右脚,西班牙,2022-06-30
何塞·安东尼奥卡罗,Jose Antonio Caro,祖些迪亞斯,54万英镑,1994-05-03,,194,,西班牙,2021-06-30
费德里科.巴巴,Federico Barba,巴亞巴,180万英镑,1993-09-01,,185,左脚,意大利,2020-06-30
何塞·马丁内兹·加西亚,Jose Ignacio Martinez GarciaNacho,拿祖馬天尼斯,450万英镑,1989-03-07,,174,左脚,西班牙,2022-06-30
J.路加奧,Javier Moyano Lujano,J.盧查奴,72万英镑,1986-02-23,,180,右脚,西班牙,2020-06-30
劳尔-加西亚,Raul Garcia Granero,魯爾格尼奴,90万英镑,1989-04-30,72,179,左脚,西班牙,2022-06-30
基科.奥利瓦斯,Francisco Jose Olivas AlbaKiko,F.傑高,180万英镑,1988-08-21,,184,右脚,西班牙,2022-06-30
安东尼托,Antonio Jesus Regal AnguloAntonito,安東尼奧,180万英镑,1987-12-24,64,175,右脚,西班牙,2021-06-30
J.莫雷诺,Joaquin Fernandez Moreno,J.摩連奴,270万英镑,1996-05-31,,190,左脚,西班牙,2023-06-30
波罗,Pedro Porro,波羅,900万英镑,1999-09-13,,176,右脚,西班牙,2020-06-30
哈维.桑切斯,Javi Sanchez,哈維·桑切斯,180万英镑,1997-03-14,,189,,西班牙,2020-06-30
鲍勃罗.埃尔韦,Pablo Hervias,靴維亞斯,63万英镑,1993-03-08,68,174,右脚,西班牙,2022-06-30
菲德里科.迪亚斯,Federico San Emeterio Diaz,F.艾美特里奧,450万英镑,1997-03-16,,176,右脚,西班牙,2021-06-30
阿方索.米歇尔,Miguel Alfonso Herrero Michel,米古爾阿方素,180万英镑,1988-07-29,69,182,右脚,西班牙,2020-06-30
鲁本·阿尔卡拉斯,Ruben Alcaraz,占文尼斯,900万英镑,1991-05-01,,183,右脚,西班牙,2022-06-30
戴维.斯特拉司,David Mayoral Lastras,戴維.斯特拉司,27万英镑,1997-04-05,,172,双脚,西班牙,2020-06-30
托妮.维拉,Toni Villa,托妮.维拉,360万英镑,1995-01-07,,172,右脚,西班牙,2021-06-30
阿尔瓦罗,Alvaro Aguado,阿尔瓦罗,54万英镑,1996-05-01,,175,右脚,西班牙,2023-06-30
瓦尔多卢比奥,Waldo Rubio,瓦爾多盧比奧,90万英镑,1995-08-17,,181,右脚,西班牙,2022-06-30
莫克塔尔瓦内,Hacen Moctar El Ide,莫克塔尔瓦内,万英镑,1997-12-31,,181,,毛里塔尼亚,
佩德雷诺,Oscar Plano Pedreno,普蘭奴,360万英镑,1991-02-11,,179,双脚,西班牙,2021-06-30
塞尔吉瓜迪奥拉,Sergio Guardiola Navarro,塞爾吉瓜迪奧拉,450万英镑,1991-05-29,,185,右脚,西班牙,2023-06-30
辛度拉美利斯,Sandro Ram&#237;rez,辛度拉美利斯,360万英镑,1995-07-09,,175,右脚,西班牙,2020-06-30
E.乌奴,Enes Unal,E.烏奴,450万英镑,1997-05-10,,187,右脚,土耳其,2020-06-30
普拉萨,Stiven Ricardo Plaza Castillo,普拉薩,135万英镑,1999-03-11,,188,右脚,厄瓜多尔,2023-06-30
德索萨,Marcos de Sousa,德索薩,36万英镑,1996-10-20,,184,右脚,巴西,2023-06-30
何塞·路易斯·蒙迪利瓦尔,Jose Luis Mendilibar,文迪尼巴爾,万英镑,1961-03-14,,,,西班牙,
奥特里诺,Yoel Rodriguez Oterino,奧迪尼奴,135万英镑,1988-08-28,,184,右脚,西班牙,2021-06-30
M.迪米杜域,Marko Dmitrovic,M.迪米杜域,900万英镑,1992-01-24,,194,左脚,塞尔维亚,2021-06-30
阿尔比拉,Anaitz Arbilla Zabala,艾比拿,180万英镑,1987-05-15,75,178,右脚,西班牙,2021-06-30
比加斯,Pedro Bigas Rigo,比加斯,270万英镑,1990-05-15,,181,左脚,西班牙,2022-06-30
奥利维拉,Paulo Andre Rodrigues Oliveira,保羅奧利華拉,540万英镑,1992-01-08,,187,右脚,葡萄牙,2021-06-30
何塞.安赫尔,Jose Angel Valdes Diaz,荷西安祖爾,450万英镑,1989-09-05,77,182,左脚,西班牙,2020-06-30
埃斯特班布尔戈斯,Esteban Burgos,E.貝高斯,90万英镑,1992-01-09,,191,右脚,阿根廷,2022-06-30
伊万.拉米斯,Ivan Ramis Barrios,拉美斯,90万英镑,1984-10-25,82,189,右脚,西班牙,2020-06-30
安东尼奥.克雷亚,Roberto Antonio Correa Silva,羅拔哥利亞,72万英镑,1992-09-20,,180,右脚,西班牙,2022-06-30
特赫罗,Alvaro Tejero Sacristan,迪謝路,270万英镑,1996-07-20,,174,双脚,西班牙,2024-06-30
德尔加多,Alberto Delgado,迪加度,0万英镑,1991-06-04,,176,左脚,西班牙,
洛巴托,Ruben Lobato,洛巴托,22.5万英镑,1994-03-09,,180,左脚,西班牙,2022-06-30
塞尔吉奥.阿尔瓦雷斯,Sergio Alvarez Diaz,S.艾華里斯,225万英镑,1992-01-23,65,183,右脚,西班牙,2022-06-30
佩德罗.莱昂,Pedro Leon Sanchez Gil,柏度利安,162万英镑,1986-11-24,81,183,右脚,西班牙,2020-06-30
P.布拉西斯,Pablo De Blasis,柏保路巴拉斯,180万英镑,1988-02-04,65,165,右脚,阿根廷,2020-06-30
法比安-奥雷利亚纳,Fabian Ariel Orellana Valenzuela,F.奧維蘭拿,225万英镑,1986-01-27,70,171,右脚,智利,2020-06-30
塞巴斯蒂安,Sebastian Carlos Cristoforo Pepe,基斯杜科路,135万英镑,1993-08-23,66,173,右脚,乌拉圭、意大利,2021-06-30
格兰德,Javier Lara Grande,J.格蘭迪,45万英镑,1985-12-04,71,179,右脚,西班牙,2019-06-30
G.埃斯卡兰特,Gonzalo Escalante,艾斯卡蘭迪,360万英镑,1993-03-27,76,182,右脚,阿根廷、意大利,2020-06-30
P.迪奥普,Papakouly Diop,P.迪奧普,135万英镑,1986-03-19,73,180,右脚,塞内加尔、法国,2020-06-30
E.艾普斯托,Eduardo Exposito,E.艾斯普薛圖,360万英镑,1996-08-01,,178,右脚,西班牙,2024-06-30
乾贵士,Takashi Inui,乾貴士,360万英镑,1988-06-02,59,169,右脚,日本,2022-06-30
奎克,Enrique Garcia Martinez Kike,傑基加西亞,270万英镑,1989-11-25,,186,右脚,西班牙,2021-06-30
查尔斯,Charles Dias de Oliveira,查里斯戴亞斯,180万英镑,1984-04-04,75,179,右脚,巴西、葡萄牙,2020-06-30
塞尔吉,Sergi Enrich Ametller,沙治安歷治,675万英镑,1990-02-26,77,181,右脚,西班牙,2022-06-30
奎克,Enrique Gonzalez CasinQuique,古基干沙利斯,135万英镑,1990-05-16,67,177,左脚,西班牙,2024-06-30
加里塔诺,Asier Garitano,加里塔诺,万英镑,1969-12-06,,,,西班牙,
帕切科,Fernando Pacheco Flores,F.柏捷高,1350万英镑,1992-05-18,85,186,左脚,西班牙,2023-06-30
卡斯特罗.佩雷斯,Artiz Castro Perez,卡斯特罗.佩雷斯,万英镑,1998-05-20,,,,西班牙,
阿里茨·卡斯特罗·佩雷兹,Aritz Castro Perez,阿里茨·卡斯特羅,万英镑,1998-05-20,,,,西班牙,
R.库基亚,Rafael Navarro Cujia,拉法拿華路,45万英镑,1994-02-23,70,173,右脚,西班牙,2021-06-30
马加拉恩,Lisandro Rodriguez Magallan,利辛度馬加倫,540万英镑,1993-09-27,79,185,右脚,阿根廷、意大利,2020-06-30
罗德里戈.伊利,Rodrigo Ely,洛迪高艾利,180万英镑,1993-11-03,81,188,右脚,巴西、意大利,2021-06-30
薜慕,Joaquin Navarro Jimenez,施莫拿華路,270万英镑,1990-01-23,70,176,右脚,西班牙,2021-06-30
高美思,Adrian Marin Gomez,阿祖安馬連,72万英镑,1997-01-09,,186,左脚,西班牙,2021-06-30
鲁本.杜阿尔特,Ruben Duarte Sanchez,魯賓杜亞迪,450万英镑,1995-10-18,,180,左脚,西班牙,2023-06-30
维克托.拉瓜迪亚,Victor Laguardia Cisneros,拉哥迪亞,900万英镑,1989-11-05,75,185,右脚,西班牙,2022-06-30
马丁阿古拉甘,Martin Aguirregabiria,阿古利加,675万英镑,1996-05-10,,178,右脚,西班牙,2022-06-30
阿尔贝托.罗德里格斯,Alberto Rodriguez,阿爾貝托.羅德裏格斯,万英镑,1997-09-10,,,,西班牙,
多知,Tachi,多知,27万英镑,1997-09-10,,184,右脚,西班牙,2023-06-30
D.罗杰斯,Daniel Alejandro Torres Rojas,D.托里斯,81万英镑,1989-11-15,80,183,,哥伦比亚,2020-06-30
托马斯·皮纳,Tomas Pina Isla,湯馬士賓拿,225万英镑,1987-10-14,75,185,右脚,西班牙,2021-06-30
M.加西亚,Manuel Alejandro Garcia Sanchez,S.文奴加西亞,180万英镑,1986-04-26,,182,左脚,西班牙,2020-06-30
P.邦斯,Pere Pons Riera,P.邦斯,360万英镑,1993-02-20,,177,右脚,西班牙,2022-06-30
卡马拉沙,Victor Camarasa Ferrando,卡馬拉沙,450万英镑,1994-05-28,76,183,右脚,西班牙,2020-06-30
比达尔,Alexis Vidal Parreu,阿歷斯維達爾,360万英镑,1989-08-21,70,177,右脚,西班牙,2020-06-30
哈维尔.穆尼奥斯,Javier Munoz Jimenez,查維梅奴斯,6.4万英镑,1995-01-24,70,176,,智利,
布尔吉,Burgui,貝古爾,135万英镑,1993-10-29,,184,右脚,西班牙,2021-06-30
J.穆尼奥斯,Javi Munoz,J.穆尼奧斯,45万英镑,1995-02-28,,179,右脚,西班牙,2021-06-30
路易斯里奥哈,Luis Rioja,路易斯·里奥哈,135万英镑,1993-10-16,,176,左脚,西班牙,2023-06-30
伊斯梅尔古铁雷斯,Ismael Gutierrez,伊斯梅爾古鐵雷斯,90万英镑,2000-08-07,,,,西班牙,
奥伊尔·萨里吉,Oier Sarriegi,O.薩里吉,万英镑,1997-05-17,,,,西班牙,
何塞卢,Jose Luis Sanmartin MatoJoselu,祖斯路,360万英镑,1990-03-27,80,192,右脚,西班牙,2022-06-30
卢卡斯-佩雷斯,Lucas Perez Martinez,盧卡斯皮里斯,360万英镑,1988-09-10,,180,左脚,西班牙,2022-06-30
奥利弗.布尔克,Oliver Burke,奧利華貝基,900万英镑,1997-04-07,,188,右脚,苏格兰,2019-06-30
阿吉雷,Javier Aguirre,阿古利,万英镑,1958-12-01,73,173,,墨西哥,
奎利亚尔,Ivan Cuellar Sacristan,艾雲古爾拿,72万英镑,1984-05-25,75,187,左脚,西班牙,2021-06-30
J.索里亚诺,Juan Soriano,J.蘇利安奴,225万英镑,1997-08-23,,185,,西班牙,2020-06-30
安德烈格兰迪,Andre Grandi,安德烈格蘭迪,27万英镑,1997-05-02,,193,右脚,巴西、意大利,2022-06-30
罗萨莱斯,Rosales Roberto,羅沙里斯,225万英镑,1988-11-20,73,174,右脚,委内瑞拉,2021-06-30
D.斯欧瓦斯,Dimitrios Siovas,索華斯,540万英镑,1988-09-16,84,191,左脚,希腊,2021-06-30
U.布斯蒂萨,Unai Bustinza Martinez,布斯天沙,360万英镑,1992-02-02,,175,右脚,西班牙,2021-06-30
若纳坦.席尔瓦,Jonathan Silva,莊拿芬施華,270万英镑,1994-06-29,69,181,左脚,阿根廷、意大利,2023-06-30
凯文.罗德里格斯,Kevin Rodrigues Pires,奇雲洛迪古斯,270万英镑,1994-03-05,60,170,左脚,葡萄牙、法国,2020-06-30
马科斯纳瓦罗,Marcos Navarro,馬科斯納瓦羅,180万英镑,1995-07-02,,188,右脚,西班牙,2020-06-30
罗德里戈.塔林,Rodrigo Tarin Higon,罗德里戈.塔林,180万英镑,1996-07-05,,183,右脚,西班牙,2021-06-30
C.阿洛兹,Chidozie Awaziem,阿華森,315万英镑,1997-01-01,,189,右脚,尼日利亚,2020-06-30
若泽梅嘉斯,Josua Mejias,若澤梅嘉斯,18万英镑,1997-08-01,,185,右脚,委内瑞拉,2023-06-30
亚历克斯马丁,Alex Martin,A.馬田,9万英镑,1998-01-25,,173,,西班牙,2021-06-30
K.奥梅罗,Kenneth Josiah Omeruo,奧美魯奧,450万英镑,1993-10-17,78,185,右脚,尼日利亚,2024-06-30
伊凡·克里斯托瓦尔,Ivan Lopez Cristobal,I.克里斯托瓦爾,万英镑,1998-08-08,,,,西班牙,
雷西奥,Jose Luis Garc&#237;a del Pozo Recio,列斯奧,270万英镑,1991-01-11,74,183,右脚,西班牙,2022-06-30
罗克,Roque Mesa Quevedo,洛基美沙,630万英镑,1989-06-07,,172,右脚,西班牙,2020-06-30
哈维尔.埃拉索,Javier Eraso,艾拉素,135万英镑,1990-03-22,,182,右脚,西班牙,2020-06-30
施文诺夫斯基,Alexander Szymanowski,施文洛斯基,135万英镑,1988-10-13,70,174,左脚,阿根廷、波兰,2020-06-30
鲁本.佩雷斯,Ruben Perez Marmol,魯賓皮里斯,675万英镑,1989-04-26,72,178,右脚,西班牙,2022-06-30
C.埃尔南德斯,Christian Rivera Hernandez,C.埃爾南德斯,225万英镑,1997-07-09,,191,右脚,西班牙,2020-06-30
阿奈兹,Jose Manuel Arnaiz Diaz,艾拿斯,225万英镑,1995-04-15,,175,右脚,西班牙,2023-06-30
奥斯卡.罗德里格斯.阿尔奈斯,Oscar Rodriguez Arnaiz,O.艾拿斯,900万英镑,1998-06-28,,174,,西班牙,2020-06-30
奥乌苏,Owusu,奧烏蘇,27万英镑,1997-06-18,,182,右脚,加纳,2022-06-30
艾托鲁伊巴尔,Aitor Ruibal,A.魯伊巴爾,135万英镑,1996-03-22,,176,右脚,西班牙,2020-06-30
哈维尔阿维尔斯,Javier Aviles,哈維爾阿維爾斯,万英镑,1997-08-17,,,,西班牙,
M.布雷斯韦特,Martin Braithwaite,巴夫韋迪,720万英镑,1991-06-05,75,177,双脚,丹麦、圭亚那,2023-06-30
G.卡尔罗,Guido Marcelo Carrillo,基度卡里路,675万英镑,1991-05-25,86,191,右脚,阿根廷、意大利,2020-06-30
